bedrooms,bathrooms,living_area,lot_size,year_built,property_tax,sale_price
4,1,1380,6000,1948,8360,350000
4,2,1761,7400,1951,5754,360000
4,2,1564,6000,1948,8982,350000
5,2,2904,9898,1949,11664,375000
5,2.5,1942,7788,1948,8120,370000
4,2,1830,6000,1948,8197,335000
4,1,1585,6000,1948,6223,295000
4,1,941,6800,1951,2448,250000
4,1.5,1481,6000,1948,9087,299990
3,2,1630,5998,1948,9430,375000
4,2,3336,6741,1950,9989,420000
4,1,1158,9860,1948,9076,180000
3,2,1642,8940,1952,9941,350000
4,2,1313,6000,1948,8362,330000
3,3,1390,6000,1953,7218,420000
5,2,2161,6000,1948,10050,419000
4,1,1082,6000,1948,6056,160000
4,2,1776,7980,1950,8750,446500
5,2,2049,6000,1948,8733,411000
5,2,1786,6000,1948,9461,344000
4,1.5,1240,6000,1951,9240,375000
4,1.5,1696,6000,1949,10081,367000
4,2,1910,6000,1948,9784,380000
4,2,1250,6500,1950,8921,359000
4,2,1600,6000,1948,12296,355000
5,2,1372,6000,1948,6154,236500
4,2.5,1521,6000,1955,8598,370000
5,2,1574,6800,1948,11099,300000
3,2,1662,5922,1961,9275,365000
4,2,2329,10560,1949,9851,475000
4,2,1965,6000,1948,8210,323200
4,2,1560,6000,1951,14358,239000
4,2,1114,6000,1952,6530,342000
4,2,1874,6900,1948,10993,340000
4,2,1207,6600,1949,8464,295000
4,2,1050,6000,1948,7646,289000
4,2,1215,7800,1953,6769,381150
4,2,1190,6000,1948,3073,325000
4,2,1590,8400,1950,3813,322500
4,1.5,1271,6000,1948,9140,295000
4,3,1645,6900,1953,8373,425000
4,2,1429,6000,1950,10457,370000
3,1,1200,6000,1948,8186,320000
5,2,1848,6498,1953,8197,335000
3,2,1140,8400,1955,3733,372500
4,3,1503,7500,1953,8952,325000
4,2,1540,6000,1951,6633,380000
3,2,1466,11325,1961,8623,409000
3,2,1507,6000,1948,8609,318750
4,2,1274,6000,1952,8294,329990
4,2,2284,6000,1949,10053,410000
4,2,1434,9100,1948,9107,315000
4,2,1373,6000,1948,9242,263000
4,2,1500,6000,1948,8203,427000
3,2,1413,6000,1948,6869,318500
4,1.5,1570,8400,1951,9215,231500
3,2,1045,8200,1953,7839,405000
4,2,1816,6460,1954,7798,400000
4,1,1098,6000,1950,9135,327500
5,3,2201,5922,1954,10983,440000
5,2,1408,6000,1953,7680,382000
3,2,1125,6600,1948,8713,300000
4,1,1050,6000,1948,7585,245000
4,2.5,2200,6000,1948,9260,499000
4,2,1562,6540,1948,10773,422000
5,2,1614,8400,1951,10098,321360
5,3,2453,6900,1951,13530,555000
4,2,1504,10300,1950,9762,340000
3,2,1240,6000,1948,8557,335000
4,2,1506,10004,1948,3321,316000
4,2.5,1740,6930,1962,9005,440000
5,2,1926,6000,1952,8926,340000
4,1,1485,8000,1948,9046,328600
3,2,1690,8400,1950,9264,375000
4,1,1287,7000,1948,2800,250000
4,2,1475,6600,1948,8827,365000
4,2,1470,6000,1950,7293,312000
3,2,1313,6000,1948,8448,280000
4,2,2092,6000,1950,8345,315000
3,1,1050,7412,1948,7611,307000
3,2,1275,7500,1950,8027,362000
3,2,1882,6200,1950,8995,335000
3,1,1161,6000,1950,5681,270000
3,2,1045,6700,1953,8288,365000
3,2,1050,7020,1950,7675,290000
